sentence,label
Terrible experience with this purchase.,0
Best tool I have purchased.,1
One star for this gadget.,0
Very disappointed with the gadget.,0
This gadget broke after one use.,0
The quality of this product is outstanding.,1
Highly recommend this device.,1
This material is fantastic!,1
Terrible experience with this equipment.,0
Best purchase I have purchased.,1
Five stars for this gadget!,1
Exceeded my expectations with this material.,1
Worst gadget ever!,0
The service is poorly made.,0
I absolutely love this material!,1
I absolutely love this purchase!,1
"Amazing equipment, would buy again!",1
Exceeded my expectations with this device.,1
This gadget broke after one use.,0
The quality of this service is outstanding.,1
This product broke after one use.,0
"Amazing device, would buy again!",1
One star for this item.,0
Not worth buying this gadget.,0
Very disappointed with the accessory.,0
Terrible experience with this material.,0
I absolutely love this service!,1
The product is poorly made.,0
Best purchase I have purchased.,1
This gadget broke after one use.,0
Terrible experience with this equipment.,0
Very disappointed with the service.,0
Best gadget I have purchased.,1
Extremely satisfied with the material.,1
Regret purchasing this product.,0
I absolutely love this purchase!,1
The quality of this accessory is outstanding.,1
Completely useless service.,0
"Amazing equipment, would buy again!",1
One star for this product.,0
One star for this material.,0
Worst service ever!,0
Highly recommend this equipment.,1
"Amazing item, would buy again!",1
This service broke after one use.,0
Exceeded my expectations with this material.,1
Five stars for this device!,1
The quality of this purchase is outstanding.,1
Five stars for this gadget!,1
Worst device ever!,0
This device broke after one use.,0
Worst device ever!,0
Very disappointed with the service.,0
Super happy with the item.,1
The quality of this purchase is outstanding.,1
This accessory is fantastic!,1
Highly recommend this item.,1
This tool is fantastic!,1
Super happy with the gadget.,1
Not worth buying this item.,0
This gadget is fantastic!,1
Best accessory I have purchased.,1
Highly recommend this service.,1
Five stars for this product!,1
Super happy with the purchase.,1
Exceeded my expectations with this device.,1
Not worth buying this material.,0
The tool is poorly made.,0
Highly recommend this product.,1
The quality of this item is outstanding.,1
Best item I have purchased.,1
The purchase is poorly made.,0
"Amazing tool, would buy again!",1
I hate this gadget.,0
Highly recommend this gadget.,1
Five stars for this gadget!,1
The quality of this product is outstanding.,1
This tool is fantastic!,1
One star for this material.,0
Super happy with the material.,1
Worst device ever!,0
Regret purchasing this purchase.,0
Very disappointed with the material.,0
"Amazing device, would buy again!",1
This item is fantastic!,1
Five stars for this accessory!,1
Completely useless tool.,0
The quality of this accessory is outstanding.,1
"Amazing material, would buy again!",1
Worst tool ever!,0
Completely useless equipment.,0
Worst item ever!,0
Regret purchasing this accessory.,0
Terrible experience with this gadget.,0
Five stars for this device!,1
I absolutely love this gadget!,1
Super happy with the gadget.,1
Regret purchasing this material.,0
Extremely satisfied with the gadget.,1
Extremely satisfied with the service.,1
This purchase is fantastic!,1
I absolutely love this material!,1
Five stars for this service!,1
Not worth buying this equipment.,0
Terrible experience with this item.,0
Regret purchasing this gadget.,0
Very disappointed with the purchase.,0
"Amazing gadget, would buy again!",1
Five stars for this material!,1
Five stars for this material!,1
Very disappointed with the item.,0
Extremely satisfied with the material.,1
Worst purchase ever!,0
Completely useless material.,0
Exceeded my expectations with this item.,1
This tool is fantastic!,1
Terrible experience with this service.,0
Highly recommend this item.,1
Terrible experience with this equipment.,0
This product broke after one use.,0
Terrible experience with this device.,0
Regret purchasing this service.,0
Very disappointed with the accessory.,0
One star for this product.,0
Extremely satisfied with the device.,1
Not worth buying this item.,0
Regret purchasing this tool.,0
Terrible experience with this gadget.,0
The tool is poorly made.,0
Exceeded my expectations with this service.,1
Regret purchasing this purchase.,0
Terrible experience with this material.,0
Super happy with the material.,1
Very disappointed with the product.,0
Very disappointed with the equipment.,0
Exceeded my expectations with this tool.,1
I hate this product.,0
Five stars for this accessory!,1
Super happy with the gadget.,1
Not worth buying this service.,0
Terrible experience with this device.,0
This product broke after one use.,0
Best item I have purchased.,1
"Amazing device, would buy again!",1
Terrible experience with this service.,0
This purchase is fantastic!,1
The quality of this equipment is outstanding.,1
I hate this gadget.,0
Exceeded my expectations with this material.,1
The equipment is poorly made.,0
"Amazing item, would buy again!",1
One star for this service.,0
The quality of this tool is outstanding.,1
I hate this item.,0
Exceeded my expectations with this tool.,1
Not worth buying this material.,0
Worst purchase ever!,0
Completely useless material.,0
The tool is poorly made.,0
Exceeded my expectations with this equipment.,1
Extremely satisfied with the purchase.,1
One star for this service.,0
"Amazing service, would buy again!",1
I hate this product.,0
Not worth buying this gadget.,0
Best tool I have purchased.,1
One star for this product.,0
Terrible experience with this accessory.,0
"Amazing material, would buy again!",1
Highly recommend this material.,1
Worst tool ever!,0
Not worth buying this accessory.,0
I absolutely love this service!,1
This service is fantastic!,1
Five stars for this equipment!,1
The quality of this item is outstanding.,1
One star for this product.,0
The purchase is poorly made.,0
Highly recommend this purchase.,1
Not worth buying this equipment.,0
Exceeded my expectations with this service.,1
One star for this purchase.,0
Terrible experience with this service.,0
Very disappointed with the device.,0
Regret purchasing this purchase.,0
The accessory is poorly made.,0
Highly recommend this material.,1
Very disappointed with the purchase.,0
The tool is poorly made.,0
Highly recommend this item.,1
I hate this purchase.,0
I absolutely love this material!,1
This tool is fantastic!,1
Highly recommend this accessory.,1
The quality of this gadget is outstanding.,1
Exceeded my expectations with this purchase.,1
Very disappointed with the purchase.,0
This device broke after one use.,0
The product is poorly made.,0
This material broke after one use.,0
"Amazing product, would buy again!",1
One star for this product.,0
Not worth buying this tool.,0
One star for this service.,0
Completely useless accessory.,0
I hate this product.,0
Best product I have purchased.,1
"Amazing device, would buy again!",1
This item broke after one use.,0
This service broke after one use.,0
"Amazing item, would buy again!",1
The accessory is poorly made.,0
This device broke after one use.,0
The quality of this purchase is outstanding.,1
This product is fantastic!,1
One star for this equipment.,0
Completely useless product.,0
Exceeded my expectations with this service.,1
This purchase broke after one use.,0
This gadget is fantastic!,1
Best gadget I have purchased.,1
Extremely satisfied with the material.,1
Very disappointed with the material.,0
"Amazing tool, would buy again!",1
Worst gadget ever!,0
Terrible experience with this gadget.,0
This equipment is fantastic!,1
Completely useless service.,0
Very disappointed with the device.,0
Super happy with the item.,1
Exceeded my expectations with this product.,1
Super happy with the gadget.,1
I hate this tool.,0
Exceeded my expectations with this equipment.,1
The item is poorly made.,0
